<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.04	03:00:00	1220.45	1222.32	1219.55	1222.29	8985	0	0
2016.04.04	04:00:00	1222.29	1222.62	1216.25	1217.46	4302	0	0
2016.04.04	05:00:00	1217.45	1220.06	1216.74	1217.23	6616	0	0
2016.04.04	06:00:00	1217.23	1218.94	1216.62	1218.69	6328	0	0
2016.04.04	07:00:00	1218.68	1219.06	1217.11	1217.61	2747	0	0
2016.04.04	08:00:00	1217.61	1219.35	1217.32	1219.16	7164	0	0
2016.04.04	09:00:00	1219.15	1219.16	1214.65	1216.29	10205	0	0
2016.04.04	10:00:00	1216.34	1218.29	1216.29	1217.37	12070	0	0
2016.04.04	11:00:00	1217.40	1219.16	1216.10	1216.64	11194	0	0
2016.04.04	12:00:00	1216.65	1217.20	1214.91	1215.83	7756	0	0
2016.04.04	13:00:00	1215.76	1217.59	1214.91	1216.91	7589	0	0
2016.04.04	14:00:00	1216.91	1220.12	1216.31	1219.41	9013	0	0
2016.04.04	15:00:00	1219.48	1222.64	1218.74	1222.14	9059	0	0
2016.04.04	16:00:00	1222.13	1222.25	1217.30	1218.95	11790	0	0
2016.04.04	17:00:00	1218.92	1220.65	1216.76	1218.27	14321	0	0
2016.04.04	18:00:00	1218.28	1220.19	1217.19	1219.29	8236	0	0
2016.04.04	19:00:00	1219.41	1219.47	1214.81	1217.01	7725	0	0
2016.04.04	20:00:00	1217.00	1218.53	1216.31	1218.23	3715	0	0
2016.04.04	21:00:00	1218.23	1218.52	1215.53	1215.96	1818	0	0
2016.04.04	22:00:00	1216.07	1216.96	1214.65	1214.96	2883	0	0
2016.04.04	23:00:00	1215.03	1216.15	1215.01	1215.23	1520	0	0
2016.04.05	01:00:00	1215.49	1216.40	1215.10	1216.09	1410	0	0
2016.04.05	02:00:00	1216.09	1217.19	1214.85	1215.26	1780	0	0
2016.04.05	03:00:00	1215.26	1219.07	1214.96	1219.05	7324	0	0
2016.04.05	04:00:00	1219.04	1225.74	1218.83	1225.28	11322	0	0
2016.04.05	05:00:00	1225.35	1226.90	1224.17	1225.50	7945	0	0
2016.04.05	06:00:00	1225.50	1225.96	1224.47	1225.16	4104	0	0
2016.04.05	07:00:00	1225.18	1226.65	1223.93	1225.54	7796	0	0
2016.04.05	08:00:00	1225.56	1227.13	1225.21	1226.52	6941	0	0
2016.04.05	09:00:00	1226.53	1227.47	1225.19	1225.63	8533	0	0
2016.04.05	10:00:00	1225.67	1229.54	1224.42	1228.89	11730	0	0
2016.04.05	11:00:00	1228.89	1234.88	1228.52	1232.70	10620	0	0
2016.04.05	12:00:00	1232.70	1233.37	1231.26	1231.45	7310	0	0
2016.04.05	13:00:00	1231.50	1233.76	1230.60	1232.89	7406	0	0
2016.04.05	14:00:00	1232.88	1233.56	1230.71	1231.66	6663	0	0
2016.04.05	15:00:00	1231.67	1236.84	1230.99	1234.53	10076	0	0
2016.04.05	16:00:00	1234.53	1234.65	1230.50	1232.13	12489	0	0
2016.04.05	17:00:00	1232.09	1232.51	1226.74	1229.88	13467	0	0
2016.04.05	18:00:00	1229.92	1231.62	1227.90	1229.86	10766	0	0
2016.04.05	19:00:00	1229.82	1229.82	1227.19	1228.35	7825	0	0
2016.04.05	20:00:00	1228.37	1230.71	1225.61	1229.75	7260	0	0
